Category,Message
spam,offer prize free urgent money click free
spam,discount free limited money offer lottery limited
ham,family project lunch dinner schedule family lunch plan schedule important call schedule plan
spam,prize discount offer urgent win
spam,free lottery click discount offer limited urgent free win
spam,offer discount prize click limited money money win free urgent lottery urgent lottery
ham,important schedule dinner dinner family
ham,dinner plan plan family important call dinner call call dinner plan project meeting plan meeting
ham,call call important lunch dinner important schedule important work
ham,call schedule call work schedule work important work plan
ham,meeting lunch important schedule call
ham,call call dinner lunch important plan lunch call call work plan plan important dinner family
ham,important meeting meeting lunch lunch project schedule important project dinner dinner important important project lunch
ham,family important schedule important dinner work dinner call call call meeting family meeting lunch meeting
ham,important schedule dinner work work dinner meeting call dinner lunch dinner work family dinner work
spam,click click money click urgent free offer prize free win win
spam,money limited money offer win
ham,plan work dinner family work family family dinner family schedule schedule project
ham,call call schedule schedule dinner dinner project meeting meeting
ham,project plan important dinner lunch lunch
spam,free free discount click click urgent discount free click prize urgent discount
spam,free offer prize limited click urgent offer free click lottery prize discount free
ham,plan important family project project work lunch work plan important meeting dinner work dinner important
spam,offer click urgent prize offer free offer
ham,meeting plan important call meeting lunch project project work lunch dinner lunch meeting
ham,schedule family call dinner work schedule call plan schedule schedule plan
spam,offer limited click discount limited limited free prize urgent click prize discount
ham,plan call dinner family schedule dinner meeting dinner project schedule important
ham,call family meeting dinner project family work family dinner dinner meeting call dinner
ham,family lunch dinner family project dinner important plan dinner
ham,important work plan important lunch project meeting project call
ham,lunch important plan call lunch schedule dinner call project dinner dinner
ham,lunch meeting schedule important family plan
ham,plan plan call dinner dinner dinner important schedule lunch family
ham,project meeting family important project schedule important plan family important schedule
spam,prize offer click money discount
spam,win offer win discount win urgent urgent lottery free urgent win win money offer
spam,win prize discount prize lottery click lottery free free lottery lottery
spam,discount lottery win click lottery click
spam,discount click limited win discount win offer win free win money win money lottery
ham,important meeting schedule important family work project family
ham,family call plan plan project family important family call schedule dinner family
ham,schedule schedule important lunch plan schedule schedule lunch family important family project schedule
spam,money prize lottery money free limited
spam,lottery urgent discount free free urgent lottery win limited limited prize win free
spam,click lottery offer prize prize click lottery free offer prize click lottery discount
spam,free click free urgent discount limited win discount click
spam,offer prize offer lottery prize free offer discount win win money limited
spam,click money discount urgent lottery discount free offer discount click win discount
ham,meeting project dinner lunch project work plan lunch project dinner important
ham,plan work lunch work family plan lunch
ham,schedule dinner meeting dinner schedule schedule meeting call important plan
spam,win prize urgent discount prize free offer prize lottery lottery lottery prize
spam,money win urgent win free lottery money click limited
spam,urgent limited click win urgent click
ham,dinner plan important call important
ham,schedule plan plan plan dinner family schedule schedule family plan call lunch dinner plan dinner
ham,meeting schedule dinner schedule schedule family call schedule family meeting schedule call schedule meeting dinner
spam,limited urgent prize money click discount urgent win
ham,family lunch important meeting important project plan meeting dinner work
ham,call call family work schedule project lunch plan important schedule work call work schedule lunch
spam,money win free lottery win win money
spam,lottery money limited urgent free
ham,project call lunch family meeting meeting lunch important meeting project meeting
spam,urgent discount click click prize
spam,urgent money urgent limited win urgent win limited
ham,call important dinner important work call
spam,free offer offer free limited urgent free limited money
ham,dinner project important important call family family work meeting schedule call call family
ham,family schedule schedule important call call schedule project work project
